,path,size,lastmod
0,.,4096,1698248709.171823
1,src,4096,1698248709.171823
2,thecmdchallenge,4096,1698248709.171823
3,thecmdchallenge/kamehameha,4096,1698248709.171823
4,thecmdchallenge/boringfolder,4096,1698248709.171823
5,thecmdchallenge/boringfolder/even-more-boring,4096,1698248709.171823
6,thecmdchallenge/boringfolder/even-more-boring/i-cant-believe-how-boring,4096,1698248709.171823
7,thecmdchallenge/boringfolder/even-more-boring/i-cant-believe-how-boring/the-ultimate-boring-inception,4096,1698248709.171823
8,thecmdchallenge/small-name,4096,1698248709.171823
9,thecmdchallenge/small-name/bigger-name-than-before,4096,1698248709.171823
10,thecmdchallenge/small-name/bigger-name-than-before/omg-this-folder-has-a-huuuuuuge-name-and-i-tired-to-type,4096,1698248709.171823
11,thecmdchallenge/small-name/bigger-name-than-before/omg-this-folder-has-a-huuuuuuge-name-and-i-tired-to-type/this-is-probably-the-longest-folder-name-you-have-ever-seen-but-believe--im-sure-there-are-other-folder-bigger-than-this-one-because-people-sometimes-like-to-assign-huge-names-to-their-personal-stuff-supercalifragilisticexpialidocious,4096,1698248709.171823
12,thecmdchallenge/funcode,4096,1698248709.171823
13,thecmdchallenge/funcode/the-most-funny,4096,1698248709.171823
14,thecmdchallenge/funcode/the-most-funny/lol,4096,1698248709.171823
15,thecmdchallenge/funcode/images,4096,1698248709.171823
16,thecmdchallenge/funcode/images/hello,4096,1698248709.171823
17,slides,4096,1698248709.171823
18,.devcontainer,4096,1698248709.161823
19,.git,4096,1698248709.181823
20,.git/branches,4096,1698248702.821823
21,.git/hooks,4096,1698248702.821823
22,.git/objects,4096,1698250204.591823
23,.git/objects/pack,4096,1698248709.161823
24,.git/objects/info,4096,1698248702.821823
25,.git/info,4096,1698248702.821823
26,.git/refs,4096,1698248709.161823
27,.git/refs/tags,4096,1698248702.821823
28,.git/refs/remotes,4096,1698248709.721823
29,.git/refs/remotes/origin,4096,1698248709.161823
30,.git/refs/remotes/upstream,4096,1698248709.721823
31,.git/refs/heads,4096,1698248709.161823
32,.git/logs,4096,1698248709.161823
33,.git/logs/refs,4096,1698248709.161823
34,.git/logs/refs/remotes,4096,1698248709.721823
35,.git/logs/refs/remotes/origin,4096,1698248709.161823
36,.git/logs/refs/remotes/upstream,4096,1698248709.721823
37,.git/logs/refs/heads,4096,1698248709.161823
38,assets,4096,1698248709.161823
39,.github,4096,1698248709.161823
40,.github/workflows,4096,1698248709.161823
